"ID","EXTERNAL_ID","ACCOUNT_EXTERNAL_ID","FIRSTNAME","LASTNAME","ENTERTAINMENT","FOOD","HOBBIES_AND_ACTIVITIES","MOVIES","SHOPPING","SPORT","TYPE","STATUS"
"0034E00000v3lfFQAQ","374","Reservation Account","Ofelia","CCdHXdIcirFA","Music;TV","Chinese cuisine;French cuisine;Indian cuisine;Japanese cuisine;Vietnamese cuisine","Pets","Action movies","Toys","Association football (Soccer);Skiing;Swimming","VIP","Item Created"
"0034E00000v3lfGQAQ","375","Reservation Account","Kryspin","QWSzVGGGut","Movies;Music","Chinese cuisine;Japanese cuisine","Politics and social issues","Drama movies;Drama movies;Horror movies;Musical theatre;Science fiction movies","Toys","American football;Snowboarding;Thriathlons","VIP","Item Created"
"0034E00000v3lfHQAQ","376","Reservation Account","Panfilo","GOfQFHvmhg","Music;Fitness and wellness","Japanese cuisine;Middle Eastern cuisine;Spanish cuisine","Vehicles","Action movies;Thriller movies","Markets","Auto racing;Baseball;Basketball;Golf","Standard","Item Created"
"0034E00000v3lfIQAQ","377","Reservation Account","Paolina","RcVFfPJDMHw","Music;Music","Thai cuisine","Pets","Bollywood movies;Documentary movies;Documentary movies;Thriller movies","Local food","Association football (Soccer);Association football (Soccer);Baseball;Skiing","Single","Item Created"
"0034E00000v3lfJQAQ","378","Reservation Account","Ahtahkakoop","JaeMg","Live events;Music","French cuisine;Indian cuisine;Italian cuisine;Italian cuisine;Mexican cuisine;Middle Eastern cuisine","Pets;Vehicles","Bollywood movies;Comedy movies;Musical theatre","Local food","Association football (Soccer);Skiing;Snowboarding;Snowboarding","VIP","Item Created"
"0034E00000v3lfKQAQ","379","Reservation Account","Magda","HNJbUAYsuXhHHb","Fitness and wellness","Greek cuisine;Japanese cuisine;Japanese cuisine;Latin American cuisine;Latin American cuisine;Vietnamese cuisine","Vehicles","Animated movies;Anime movies;Bollywood movies;Bollywood movies;Documentary movies","Markets","American football;Marathons;Thriathlons;Thriathlons","Family","Item Created"
"0034E00000v3lfLQAQ","380","Reservation Account","Italo","ONuYz","Movies;Music","Japanese cuisine;Middle Eastern cuisine;Spanish cuisine;Spanish cuisine;Vietnamese cuisine","Current events","Fantasy movies","Markets","Basketball;Basketball;Tennis;Thriathlons;Volleyball","VIP","Item Created"
"0034E00000v3lfMQAQ","381","Reservation Account","Ofelia","QodWJzQpWSuXth","Fitness and wellness","French cuisine;Greek cuisine;Latin American cuisine;Mexican cuisine;Vietnamese cuisine","Pets","Musical theatre","Clothing","Baseball","Standard","Item Created"
"0034E00000v3lfNQAQ","382","Reservation Account","Paolina","OoFYF","Games","Chinese cuisine;Chinese cuisine;German cuisine;Greek cuisine;Mexican cuisine","Arts and music;Current events","Action movies;Anime movies;Bollywood movies;Documentary movies;Science fiction movies","Markets","College football;Golf;Skiing;Skiing;Tennis","Pair","Item Created"
"0034E00000v3lfOQAQ","383","Reservation Account","Floro","BBVXoSGfeszXp","Live events;Fitness and wellness","Chinese cuisine;German cuisine;Italian cuisine","Pets","Musical theatre","Local food","Swimming","Standard","Item Created"
